Codigo_distrito,Nombre_distrito,Nombre_barrio,Nombre_calle,Dia_semana,Descripcion_tipo_dia,Descripcion_turno,Numero_muertos,Numero_lesionados_leves,Numero_lesionados_graves,Numero_victimas,Numero_vehiculos_implicados,Longitud,Latitud,fecha
3,Sants-Montjuïc,la Marina del Prat Vermell,B-10 (Llobregat)                                  ,Dl,Laboral,Tarda,0,1,0,1,2,2.124415,41.341083000000005,2018-01-29 16:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,B-10 (Besòs)                                      ,Dl,Laboral,Nit,0,0,1,1,2,2.122302,41.34022,2018-04-23 05:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Litoral (Besòs)                                   ,Dv,Laboral,Tarda,0,2,0,2,5,2.125569,41.341339000000005,2018-07-27 15:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,B-10 (Llobregat)                                  ,Dm,Laboral,Matí,0,0,0,0,2,2.128743,41.342613,2018-12-11 11:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Litoral (Besòs)                                   ,Dv,Laboral,Tarda,0,1,0,1,4,2.125569,41.341339000000005,2018-06-29 16:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Litoral (Besòs)                                   ,Dv,Laboral,Tarda,0,1,0,1,2,2.125569,41.341339000000005,2018-05-11 18:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,A Zona Franca / Número 2 Zona Franca              ,Dm,Laboral,Tarda,0,1,0,1,2,2.144155,41.341709,2018-01-16 16:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,A Zona Franca                                     ,Dm,Laboral,Tarda,0,1,0,1,2,2.1442490000000003,41.342352000000005,2018-02-13 14:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,B-10 (Llobregat)                                  ,Dm,Laboral,Nit,0,1,0,1,2,2.128743,41.342613,2018-04-03 05:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,Número 60 Zona Franca                             ,Dj,Laboral,Tarda,0,0,0,0,2,2.1424380000000003,41.343042,2018-08-09 18:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,A Zona Franca                                     ,Dc,Laboral,Tarda,0,0,0,0,1,2.144778,41.343214,2018-11-14 14:00:00
3,Sants-Montjuïc,la Marina del Prat Vermell,A Zona Franca                                     ,Dj,Laboral,Tarda,0,0,0,0,1,2.144778,41.343214,2018-10-18 14:00:00
